sentiment,text,user
"neutral","@daniipm Te entendemos bem, Dani. Pastel hoje, amanhã e sempre. É tudo de bom. 😋","CocaCola_Br"
"neutral","RT @HistoryMuppet: This moment from the 1986 #Oscars is the only proof you need for why the Muppets should be hosting. https://t.co/8E5qecf…","Cocacola_Maria"
"neutral","@darklibrarian Logo, logo vc consegue aproveitar com uma Coca-Cola geladinha! 😎","CocaCola_Br"
"neutral","@CocaCola_Br E vocês mandam a coca 😍😍😍 minha maior paixão","AguiarGabi8"
"neutral","@koinoowarikata \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/ud0KMRNibw https://t.co/wNIYFc8fee","ayatakaJP"
"neutral","@acitilegf Lasanha é tudo de bom! 😍 Fala pra gente qual sabor é o seu preferido acompanhado da Coca-Cola sem açúcar bem geladinha? 😋","CocaCola_Br"
"neutral","@kumi106 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/WavjtZCAvZ https://t.co/J2zIc71vwN","ayatakaJP"
"neutral","@evoluwiu 🥰❤","CocaCola_Br"
"neutral","#SabiasQue  #NotaDelDia  #Curiosidades  #cocacola  #Notas #CanacoServytur #resfrescos https://t.co/K9wJ9o9Amj","Canacozonasur"
"positive","@aliciaa_rd Vamos, Alicia? Super combina com uma coquinha sem açúcar gelada!","CocaCola_Br"
"neutral","@izabelefranc Bom demais com uma Coca-Cola geladinha!","CocaCola_Br"
"neutral","@conexaojao Foi tudo, Conexão! ❤️ A gente amou 😍 #CoquinhanoLollaBR","CocaCola_Br"
"neutral","@negaodasoja 😍😍","CocaCola_Br"
"neutral","@Carolinefuul Que prato perfeito, parabéns! 😍 👏","CocaCola_Br"
"neutral","@ybtm7zgVfwZX33X \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/8eGcPPUhmu https://t.co/HkxTXWukpA","ayatakaJP"
"neutral","@miulunlun \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/Zb8rWUp0gm https://t.co/jnA8ONI8Zx","ayatakaJP"
"neutral","@natsukicchin8 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/fMoJGEcv6D https://t.co/cnxdFmSe0e","ayatakaJP"
"neutral","@ipeagah Então vem com a gente, porquê hoje tem cupom Trio Bob's pra vc. Coquinha Sem Açúcar + hambúrguer + batata… https://t.co/hhnpMPFeHS","CocaCola_Br"
"neutral","@duda_capiita Aquele Pastel com massa bem fresquinha acompanhada de uma Coca-Cola sem açúcar é tudo de bom! 🤤 🤤","CocaCola_Br"
"neutral","@pomedisney \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/fuOO3c5k4L https://t.co/JGs7l4ZmuB","ayatakaJP"
"neutral","@CNAdC1gCIq4DyLu \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/46yibcGY31 https://t.co/bT1rkq6O2z","ayatakaJP"
"neutral","@glucassantos Bora agitar essa coxinha com bastante recheio + coquinha sem açúcar bem gelada. 😋 🤩 https://t.co/jkAR03CGOj","CocaCola_Br"
"neutral","@1UP_010 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/wTykq1gekW https://t.co/c1S0vFSOU8","ayatakaJP"
"neutral","@jcfaixapr O dia tá pedindo essa gostosura acompanhada de uma Coquinha sem açúcar bem geladinha, né? 😉","CocaCola_Br"
"neutral","@pochipochi0816 \nご参加ありがとうございます！\n\n吉岡さんのコメントと、抽選結果は動画をチェック！\n\n4/4(月)の綾鷹カフェ ほうじ茶ラテの発売をお楽しみに♪\n\nhttps://t.co/dsAbl6f6Jh https://t.co/XeWEbxTsXU","ayatakaJP"
"neutral","@raquelxrocha Maravilhosa! 😍","CocaCola_Br"
"neutral","@mafepicchi Bom demais! 👏 Aliás, o que tivemos hoje?","CocaCola_Br"
"neutral","@DL_mz03 Opa, como foi o almoço de hoje? 😋","CocaCola_Br"
